Название;Комнат;Номер квартиры;Статус;Площадь;Цена;Отделка
МАЙ, корп. 4, кв.84;1К;84;Продажа;43,9;3771600,02;2
МАЙ, корп. 4, кв.85;СТ;85;Продажа;28,8;2517120;2
МАЙ, корп. 4, кв.86;СТ;86;Продажа;29;2728196,17;2
МАЙ, корп. 4, кв.87;1К;87;Продажа;39,3;3369478,25;2
МАЙ, корп. 4, кв.88;1К;88;Продажа;41,8;3526719,92;2
МАЙ, корп. 4, кв.89;1К;89;Продажа;41,3;3579628,77;2
МАЙ, корп. 4, кв.90;1К;90;Продажа;39;3380278,98;2
МАЙ, корп. 4, кв.91;СТ;91;Продажа;28,6;2763847,09;2
МАЙ, корп. 4, кв.92;СТ;92;Продажа;28,8;2783174,69;2
МАЙ, корп. 4, кв.93;СТ;93;Продажа;28,8;2839116,38;2
МАЙ, корп. 4, кв.94;1К;94;Стр. Резерв;39,2;3265360;2
МАЙ, корп. 4, кв.95;1К;95;Продажа;40;3476000;2
МАЙ, корп. 4, кв.96;1К;96;Продажа;40,4;3586200,13;2
МАЙ, корп. 4, кв.97;1К;97;Продажа;43,9;3771600,02;2
МАЙ, корп. 4, кв.98;СТ;98;Продажа;28,8;2810490,05;2
МАЙ, корп. 4, кв.99;СТ;99;Продажа;29;2757196,17;2
МАЙ, корп. 4, кв.100;1К;100;Продажа;39,3;3270703,2;2
МАЙ, корп. 4, кв.101;1К;101;Продажа;41,8;3526719,92;2
МАЙ, корп. 4, кв.102;1К;102;Продажа;41,3;3579628,77;2
МАЙ, корп. 4, кв.103;1К;103;Продажа;39;3248700;2
МАЙ, корп. 4, кв.104;СТ;104;Продажа;28,6;2763847,09;2
МАЙ, корп. 4, кв.105;СТ;105;Продажа;28,8;2839116,38;2
МАЙ, корп. 4, кв.106;СТ;106;Продажа;28,8;2839116,38;2
МАЙ, корп. 4, кв.107;1К;107;Продажа;39,8;3682976,18;2
МАЙ, корп. 4, кв.108;1К;108;Продажа;40,5;3632419,89;0
МАЙ, корп. 4, кв.109;1К;109;Продажа;39,9;3431400;2
МАЙ, корп. 4, кв.110;1К;110;Продажа;43,9;3771600,02;2
МАЙ, корп. 4, кв.111;СТ;111;Продажа;28,8;2810490,05;2
МАЙ, корп. 4, кв.112;СТ;112;Продажа;29;2868867,92;2
МАЙ, корп. 4, кв.113;1К;113;Продажа;39,3;3476953,92;2
МАЙ, корп. 4, кв.114;1К;114;Продажа;41,8;3711358,88;2
МАЙ, корп. 4, кв.115;1К;115;Продажа;41,9;3598560,13;2
МАЙ, корп. 4, кв.116;1К;116;Продажа;39;3248700;2
МАЙ, корп. 4, кв.117;СТ;117;Продажа;28,6;2763847,09;2
МАЙ, корп. 4, кв.118;СТ;118;Свободно;28,8;2880000;2
МАЙ, корп. 4, кв.119;СТ;119;Продажа;28,8;2646038,3;2
МАЙ, корп. 4, кв.120;1К;120;Продажа;39,8;3570961,07;2
МАЙ, корп. 4, кв.121;1К;121;Продажа;40;3476000;2
МАЙ, корп. 4, кв.122;1К;122;Продажа;40,4;3694503,24;2
МАЙ, корп. 4, кв.123;1К;123;Продажа;43,9;3771600,02;2
Май, корп. 5, кв.1;1К;1;Пл. Бронь;41,3;3455443,38;0
Май, корп. 5, кв.2;СТ;2;Свободно;29,2;2680866,6;0
Май, корп. 5, кв.3;СТ;3;Продажа;29,2;2055498;0
Май, корп. 5, кв.4;СТ;4;Продажа;31,3;2648160,29;0
Май, корп. 5, кв.5;СТ;5;Продажа;31,3;2621940,9;0
Май, корп. 5, кв.6;СТ;6;Продажа;32,3;2705708,98;0
Май, корп. 5, кв.7;СТ;7;Продажа;32,1;2688955,37;0
Май, корп. 5, кв.8;СТ;8;Продажа;32,8;2296000;0
Май, корп. 5, кв.9;1К;9;Продажа;39,6;3313209,64;0
Май, корп. 5, кв.10;СТ;10;Свободно;32,3;2680821,83;0
Май, корп. 5, кв.11;СТ;11;Свободно;31,3;2674641,97;0
Май, корп. 5, кв.12;1К;12;Продажа;41,3;3526149,81;0
Май, корп. 5, кв.13;СТ;13;Продажа;29,2;2375770,4;0
Май, корп. 5, кв.14;СТ;14;Продажа;29,2;2555000;0
Май, корп. 5, кв.15;СТ;15;Пл. Бронь;31,9;2845545,4;0
Май, корп. 5, кв.16;СТ;16;Свободно;31,3;2674641,97;0
Май, корп. 5, кв.17;СТ;17;Свободно;32,9;2930997,5;0
Май, корп. 5, кв.18;СТ;18;Продажа;32,7;2315390;0
Май, корп. 5, кв.19;1К;19;Продажа;36,8;2674000;0
Май, корп. 5, кв.20;1К;20;Продажа;43,3;3588181,8;0
Май, корп. 5, кв.21;СТ;21;Продажа;32,3;2760093,79;0
Май, корп. 5, кв.22;СТ;22;Свободно;31,3;2674647,6;0
Май, корп. 5, кв.23;1К;23;Продажа;41,3;3387357,44;0
Май, корп. 5, кв.24;СТ;24;Продажа;29,2;2375776,24;0
Май, корп. 5, кв.25;СТ;25;Продажа;29,8;2165280;0
Май, корп. 5, кв.26;СТ;26;Продажа;31,3;2572103,17;0
Май, корп. 5, кв.27;СТ;27;Свободно;31,9;2763819,19;0
Май, корп. 5, кв.28;СТ;28;Свободно;32,3;2680821,83;0
Май, корп. 5, кв.29;СТ;29;Продажа;32,7;2320000;0
Май, корп. 5, кв.30;1К;30;Продажа;39,5;3160000;0
Май, корп. 5, кв.31;1К;31;Продажа;46,9;3885126,59;0
Май, корп. 5, кв.32;СТ;32;Продажа;32,3;2654278,99;0
Май, корп. 5, кв.33;1К;33;Продажа;40,3;3325153;2
Май, корп. 5, кв.34;2К;34;Продажа;62,3;4636131,75;2
Май, корп. 5, кв.35;1К;35;Продажа;42,6;3761580;2
Май, корп. 5, кв.36;1К;36;Продажа;44,8;3588256;2
Май, корп. 5, кв.37;1К;37;Продажа;44,8;4202916,03;2
Май, корп. 5, кв.38;1К;38;Продажа;42,6;4076852,8;2
Май, корп. 5, кв.39;1К;39;Продажа;40,4;3458240;2
Май, корп. 5, кв.40;2К;40;Продажа;59,3;4364480;2
Май, корп. 5, кв.41;2К;41;Продажа;63;5004725;2
Май, корп. 5, кв.42;2К;42;Продажа;62,9;4763860;2
Май, корп. 5, кв.43;1К;43;Продажа;42,6;3761580;2
Май, корп. 5, кв.44;1К;44;Продажа;45,4;3748446;2
Май, корп. 5, кв.45;1К;45;Продажа;44,8;4177250,11;2
Май, корп. 5, кв.46;1К;46;Продажа;42,6;3893853;2
Май, корп. 5, кв.47;1К;47;Продажа;40,4;3658405,03;2
Май, корп. 5, кв.48;2К;48;Продажа;59,9;4483156,2;2
Май, корп. 5, кв.49;2К;49;Продажа;61,9;4438587,84;2
Май, корп. 5, кв.50;2К;50;Продажа;62,9;4726050;2
Май, корп. 5, кв.51;1К;51;Продажа;42,6;3363185;2
Май, корп. 5, кв.52;1К;52;Продажа;45,4;4408560;2
Май, корп. 5, кв.53;1К;53;Продажа;44,8;4220160;2
Май, корп. 5, кв.54;1К;54;Продажа;42,6;3996957,35;2
Май, корп. 5, кв.55;1К;55;Продажа;40,4;3458240;2
Май, корп. 5, кв.56;2К;56;Продажа;59,9;4281192;2
Май, корп. 5, кв.57;2К;57;Продажа;59,3;3676600;0
Май, корп. 5, кв.58;1К;58;Ус. Бронь;40,4;4040000;2
Май, корп. 5, кв.59;1К;59;Продажа;42,6;4167920,95;2
Май, корп. 5, кв.60;1К;60;Свободно;44,8;4480000;2
Май, корп. 5, кв.61;1К;61;Продажа;44,8;3139136;0
Май, корп. 5, кв.62;1К;62;Продажа;42,6;3493981,28;0
Май, корп. 5, кв.63;2К;63;Продажа;62,3;3987200;0
Май, корп. 5, кв.64;1К;64;Продажа;40,3;3320720;0
Май, корп. 5, кв.65;2К;65;Продажа;59,9;3848670;0
Май, корп. 5, кв.66;1К;66;Продажа;40,4;3055213,24;0
Май, корп. 5, кв.67;1К;67;Продажа;42,6;3601130,93;0
Май, корп. 5, кв.68;1К;68;Продажа;44,8;3787104,83;0
Май, корп. 5, кв.69;1К;69;Пл. Бронь;44,8;4541945,86;2
Май, корп. 5, кв.70;1К;70;Пл. Бронь;42,6;4260000;2
Май, корп. 5, кв.71;2К;71;Продажа;62,9;5452485,24;0
Май, корп. 5, кв.72;2К;72;Продажа;63;4166400;0
Май, корп. 5, кв.73;2К;73;Продажа;59,9;3692100;0
Май, корп. 5, кв.74;1К;74;Продажа;40,4;2720213;0
Май, корп. 5, кв.75;1К;75;Продажа;42,6;3528921,8;0
Май, корп. 5, кв.76;1К;76;Продажа;44,8;3461811,14;0
Май, корп. 5, кв.77;1К;77;Пл. Бронь;44,8;4383165,7;2
Май, корп. 5, кв.78;1К;78;Продажа;42,6;3396150,38;0
Май, корп. 5, кв.79;2К;79;Продажа;62,9;5280156,23;0
Май, корп. 5, кв.80;2К;80;Продажа;62,5;3978610;0
Май, корп. 5, кв.81;СТ;81;Свободно;32,3;3235412,83;2
Май, корп. 5, кв.82;1К;82;Пл. Бронь;39,6;3874405,39;2
Май, корп. 5, кв.83;СТ;83;Продажа;32,8;2296000;0
Май, корп. 5, кв.84;СТ;84;Продажа;32,1;2371493,11;0
Май, корп. 5, кв.85;СТ;85;Продажа;32,3;2705708,98;0
Май, корп. 5, кв.86;СТ;86;Свободно;31,3;3192600;2
Май, корп. 5, кв.87;СТ;87;Ус. Бронь;31,3;2674641,91;0
Май, корп. 5, кв.88;СТ;88;Продажа;29,2;2087800;0
Май, корп. 5, кв.89;СТ;89;Продажа;29,2;2352253,6;0
Май, корп. 5, кв.90;1К;90;Пл. Бронь;41,3;4081138,38;2
Май, корп. 5, кв.91;СТ;91;Свободно;32,3;3314684,71;2
Май, корп. 5, кв.92;1К;92;Продажа;43,3;3446948,46;0
Май, корп. 5, кв.93;1К;93;Продажа;36,2;2567749,98;0
Май, корп. 5, кв.94;СТ;94;Пл. Бронь;32,7;3475365,81;2
Май, корп. 5, кв.95;СТ;95;Свободно;32,3;3314684,79;2
Май, корп. 5, кв.96;СТ;96;Свободно;31,3;3212062,97;2
Май, корп. 5, кв.97;СТ;97;Свободно;31,3;3212062,97;2
Май, корп. 5, кв.98;СТ;98;Продажа;29,8;2186184;0
Май, корп. 5, кв.99;СТ;99;Продажа;29,2;2236720;0
Май, корп. 5, кв.100;1К;100;Продажа;41,3;3491237,27;0
Май, корп. 5, кв.101;СТ;101;Продажа;31,3;2621940,9;0
Май, корп. 5, кв.102;СТ;102;Продажа;32,3;2550710,01;0
Май, корп. 5, кв.103;1К;103;Продажа;46,9;3517500;0
Май, корп. 5, кв.104;1К;104;Продажа;40,4;2713887;0
Май, корп. 5, кв.105;СТ;105;Пл. Бронь;32,7;3391676,7;2
Май, корп. 5, кв.106;СТ;106;Свободно;32,3;3235412,83;2
Май, корп. 5, кв.107;СТ;107;Свободно;31,3;3135245,25;2
Май, корп. 5, кв.108;СТ;108;Свободно;31,3;3135245,25;2
Май, корп. 5, кв.109;СТ;109;Продажа;29,8;2439132;0
Май, корп. 5, кв.110;СТ;110;Продажа;29,2;1990740;0
Май, корп. 5, кв.111;1К;111;Продажа;41,3;3191357,14;0
Май, корп. 5, кв.112;СТ;112;Продажа;31,3;2399282,41;0
Май, корп. 6, кв.1;1К;1;Продажа;41,3;4006857,44;2
Май, корп. 6, кв.2;СТ;2;Продажа;29,2;3155687,51;2
Май, корп. 6, кв.3;СТ;3;Продажа;29,2;2066922;0
Май, корп. 6, кв.4;СТ;4;Продажа;31,3;2621940,9;0
Май, корп. 6, кв.5;СТ;5;Продажа;31,3;3154040,9;2
Май, корп. 6, кв.6;СТ;6;Продажа;32,3;3254808,98;2
Май, корп. 6, кв.7;СТ;7;Продажа;32,1;3267001,9;2
Май, корп. 6, кв.8;СТ;8;Продажа;32,8;2781440;0
Май, корп. 6, кв.9;1К;9;Продажа;39,6;3841926,26;2
Май, корп. 6, кв.10;СТ;10;Пл. Бронь;32,3;3240958,69;2
Май, корп. 6, кв.11;СТ;11;Продажа;31,3;3185581,29;2
Май, корп. 6, кв.12;1К;12;Продажа;41,3;4110737,27;2
Май, корп. 6, кв.13;СТ;13;Продажа;29,2;2942427,94;2
Май, корп. 6, кв.14;СТ;14;Продажа;29,2;2942427,94;2
Май, корп. 6, кв.15;СТ;15;Продажа;31,9;3331777;2
Май, корп. 6, кв.16;СТ;16;Продажа;31,3;3185581,29;2
Май, корп. 6, кв.17;СТ;17;Продажа;32,9;3432545,17;2
Май, корп. 6, кв.18;СТ;18;Продажа;32,7;3412391,5;2
Май, корп. 6, кв.19;1К;19;Продажа;36,8;2677000;0
Май, корп. 6, кв.20;1К;20;Пл. Бронь;43,3;3733876,78;0
Май, корп. 6, кв.21;СТ;21;Продажа;32,3;3254808,98;2
Май, корп. 6, кв.22;СТ;22;Продажа;31,3;3078736,86;2
Май, корп. 6, кв.23;1К;23;Продажа;41,3;4006857,44;2
Май, корп. 6, кв.24;СТ;24;Продажа;29,2;2872176,24;2
Май, корп. 6, кв.25;СТ;25;Продажа;29,8;2165280;0
Май, корп. 6, кв.26;СТ;26;Продажа;31,3;3078736,86;2
Май, корп. 6, кв.27;СТ;27;Продажа;31,9;3251661,11;2
Май, корп. 6, кв.28;СТ;28;Продажа;32,3;3177099,06;2
Май, корп. 6, кв.29;СТ;29;Продажа;32,7;3363654,76;2
Май, корп. 6, кв.30;1К;30;Продажа;39,5;2962500;0
Май, корп. 6, кв.31;1К;31;Продажа;46,9;4550160,15;2
Май, корп. 6, кв.32;СТ;32;Продажа;32,3;3240958,75;2
Май, корп. 6, кв.33;1К;33;Продажа;40,3;4011203,68;2
Май, корп. 6, кв.34;2К;34;Продажа;62,3;4033676;0
Май, корп. 6, кв.35;1К;35;Продажа;42,6;4132981,28;2
Май, корп. 6, кв.36;1К;36;Продажа;44,8;3674421,63;0
Май, корп. 6, кв.37;1К;37;Продажа;44,8;4433784,56;2
Май, корп. 6, кв.38;1К;38;Продажа;42,6;4216054,06;2
Май, корп. 6, кв.39;1К;39;Продажа;40,4;3919540,94;2
Май, корп. 6, кв.40;2К;40;Пл. Бронь;59,3;5067292,93;0
Май, корп. 6, кв.41;2К;41;Продажа;62,8;4262120;0
Май, корп. 6, кв.42;2К;42;Продажа;62,9;5562080,32;0
Май, корп. 6, кв.43;1К;43;Продажа;42,6;4132981,28;2
Май, корп. 6, кв.44;1К;44;Продажа;45,4;3563586;0
Май, корп. 6, кв.45;1К;45;Продажа;44,8;4459104,83;2
Май, корп. 6, кв.46;1К;46;Продажа;42,6;3565476,01;0
Май, корп. 6, кв.47;1К;47;Продажа;40,4;4061368,77;2
Май, корп. 6, кв.48;2К;48;Продажа;59,9;3928850;0
Май, корп. 6, кв.49;2К;49;Продажа;61,5;4778550;0
Май, корп. 6, кв.50;2К;50;Продажа;62,9;5386287,4;0
Май, корп. 6, кв.51;1К;51;Продажа;42,6;4035150,38;2
Май, корп. 6, кв.52;1К;52;Продажа;45,4;3762826,91;0
Май, корп. 6, кв.53;1К;53;Продажа;44,8;4346421,63;2
Май, корп. 6, кв.54;1К;54;Продажа;42,6;4132981,28;2
Май, корп. 6, кв.55;1К;55;Продажа;40,4;3958736,35;2
Май, корп. 6, кв.56;2К;56;Продажа;59,9;3686582;0
Май, корп. 6, кв.57;2К;57;Продажа;59,3;4746372;2
Май, корп. 6, кв.58;1К;58;Продажа;40,4;3913952,4;2
Май, корп. 6, кв.59;1К;59;Продажа;42,6;4127088,43;2
Май, корп. 6, кв.60;1К;60;Продажа;44,8;4427463,04;2
Май, корп. 6, кв.61;1К;61;Продажа;44,8;4103680;2
Май, корп. 6, кв.62;1К;62;Продажа;42,6;3231551;1
Май, корп. 6, кв.63;2К;63;Продажа;62,3;4863811;2
Май, корп. 6, кв.64;1К;64;Продажа;40,3;3999310,34;2
Май, корп. 6, кв.65;2К;65;Продажа;59,9;5688640,11;2
Май, корп. 6, кв.66;1К;66;Продажа;40,4;4009234,19;2
Май, корп. 6, кв.67;1К;67;Продажа;42,6;3537717;2
Май, корп. 6, кв.68;1К;68;Продажа;44,8;4376960;2
Май, корп. 6, кв.69;1К;69;Продажа;44,8;4535245,57;2
Май, корп. 6, кв.70;1К;70;Продажа;42,6;4127088,43;2
Май, корп. 6, кв.71;2К;71;Продажа;62,9;5305779;2
Май, корп. 6, кв.72;2К;72;Продажа;65,6;5544176;2
Май, корп. 6, кв.73;2К;73;Продажа;59,9;4045800;1
Май, корп. 6, кв.74;1К;74;Продажа;40,4;3611760;2
Май, корп. 6, кв.75;1К;75;Продажа;42,6;3131100;1
Май, корп. 6, кв.76;1К;76;Продажа;44,8;3225600;1
Май, корп. 6, кв.77;1К;77;Продажа;44,8;4005120;2
Май, корп. 6, кв.78;1К;78;Продажа;42,6;4026618,03;2
Май, корп. 6, кв.79;2К;79;Продажа;62,9;5222862;2
Май, корп. 6, кв.80;2К;80;Продажа;62,3;5088039,92;2
Май, корп. 6, кв.81;СТ;81;Свободно;32,3;2680821,83;0
Май, корп. 6, кв.82;1К;82;Пл. Бронь;39,6;3923567,2;2
Май, корп. 6, кв.83;СТ;83;Продажа;32,8;2747593,02;0
Май, корп. 6, кв.84;СТ;84;Продажа;32,1;2715844,9;0
Май, корп. 6, кв.85;СТ;85;Ус. Бронь;32,3;3326900;2
Май, корп. 6, кв.86;СТ;86;Продажа;31,3;3154040,9;2
Май, корп. 6, кв.87;СТ;87;Продажа;31,3;3154040,9;2
Май, корп. 6, кв.88;СТ;88;Продажа;29,2;2265920;0
Май, корп. 6, кв.89;СТ;89;Продажа;29,2;2872176,24;2
Май, корп. 6, кв.90;1К;90;Продажа;41,3;4006857,44;2
Май, корп. 6, кв.91;СТ;91;Свободно;32,3;2760093,79;0
Май, корп. 6, кв.92;1К;92;Продажа;43,3;3660304,45;0
Май, корп. 6, кв.93;1К;93;Продажа;36,2;2982656;0
Май, корп. 6, кв.94;СТ;94;Свободно;32,7;2913906,81;0
Май, корп. 6, кв.95;СТ;95;Продажа;32,3;3287357,05;2
Май, корп. 6, кв.96;СТ;96;Свободно;31,3;3192600;2
Май, корп. 6, кв.97;СТ;97;Продажа;31,3;3185581,29;2
Май, корп. 6, кв.98;СТ;98;Пл. Бронь;29,8;2666097,23;0
Май, корп. 6, кв.99;СТ;99;Продажа;29,2;2942427,94;2
Май, корп. 6, кв.100;1К;100;Пл. Бронь;41,3;4110737,27;2
Май, корп. 6, кв.101;СТ;101;Продажа;31,3;3154040,9;2
Май, корп. 6, кв.102;СТ;102;Продажа;32,3;2197000;0
Май, корп. 6, кв.103;1К;103;Продажа;46,9;3770865,99;0
Май, корп. 6, кв.104;1К;104;Продажа;39,5;2686000;0
Май, корп. 6, кв.105;СТ;105;Пл. Бронь;32,7;2830217,7;0
Май, корп. 6, кв.106;СТ;106;Продажа;32,3;3177099,06;2
Май, корп. 6, кв.107;СТ;107;Свободно;31,3;2660500;0
Май, корп. 6, кв.108;СТ;108;Продажа;31,3;2546636,86;0
Май, корп. 6, кв.109;СТ;109;Продажа;29,8;2633845;0
Май, корп. 6, кв.110;СТ;110;Продажа;29,2;2006216;0
Май, корп. 6, кв.111;1К;111;Продажа;41,3;3320613,34;0
Май, корп. 6, кв.112;СТ;112;Продажа;31,3;3078736,86;2
МАЙ, корп. 7, кв.1;СТ;1;Свободно;31,4;3202800;2
МАЙ, корп. 7, кв.2;2К;2;Продажа;62,7;4515215,1;1
МАЙ, корп. 7, кв.3;СТ;3;Свободно;32,8;3246847,07;2
МАЙ, корп. 7, кв.4;1К;4;Пл. Бронь;44,5;4305202,79;2
МАЙ, корп. 7, кв.5;1К;5;Продажа;40,9;3137030;1
МАЙ, корп. 7, кв.6;1К;6;Продажа;41,5;3642390,26;1
МАЙ, корп. 7, кв.7;СТ;7;Пл. Бронь;31,4;3139913,96;2
МАЙ, корп. 7, кв.8;СТ;8;Продажа;31,4;3171313,02;2
МАЙ, корп. 7, кв.9;2К;9;Продажа;62,7;4583370;1
МАЙ, корп. 7, кв.10;СТ;10;Стр. Резерв;32,8;2886310,13;1
МАЙ, корп. 7, кв.11;1К;11;Продажа;45,1;4039703,51;1
МАЙ, корп. 7, кв.12;1К;12;Продажа;41,5;3642390,26;1
МАЙ, корп. 7, кв.13;СТ;13;Пл. Бронь;31,4;3171313,02;2
МАЙ, корп. 7, кв.14;СТ;14;Свободно;31,4;3171313,02;2
МАЙ, корп. 7, кв.15;2К;15;Продажа;62,7;4583370;1
МАЙ, корп. 7, кв.16;СТ;16;Свободно;32,8;3312709,14;2
МАЙ, корп. 7, кв.17;1К;17;Продажа;45,1;4039703,51;1
МАЙ, корп. 7, кв.18;2К;18;Продажа;65,4;4545300;1
МАЙ, корп. 7, кв.19;1К;19;Продажа;45,3;3422324,4;1
МАЙ, корп. 7, кв.20;1К;20;Стр. Резерв;45,9;3917841,32;1
МАЙ, корп. 7, кв.21;1К;21;Продажа;44;3574047,84;1
МАЙ, корп. 7, кв.22;1К;22;Продажа;46,9;3516239,8;1
МАЙ, корп. 7, кв.23;1К;23;Продажа;45,9;3879050,77;1
МАЙ, корп. 7, кв.24;1К;24;Продажа;44;3503624,96;1
МАЙ, корп. 7, кв.25;1К;25;Продажа;46,9;3669685,34;1
МАЙ, корп. 7, кв.26;1К;26;Продажа;40,9;3473999,37;1
МАЙ, корп. 7, кв.27;1К;27;Пл. Бронь;44,5;4305202,79;2
МАЙ, корп. 7, кв.28;СТ;28;Свободно;32,8;3312709,14;2
МАЙ, корп. 7, кв.29;2К;29;Продажа;62,7;4515215,1;1
МАЙ, корп. 7, кв.30;СТ;30;Свободно;31,4;3171313,02;2
МАЙ, корп. 7, кв.31;1К;31;Продажа;45,1;4126324,38;1
МАЙ, корп. 7, кв.32;СТ;32;Пл. Бронь;32,8;3345640,67;2
МАЙ, корп. 7, кв.33;2К;33;Продажа;62,7;4639800;1
МАЙ, корп. 7, кв.34;СТ;34;Продажа;31,4;3171313,02;2
МАЙ, корп. 7, кв.35;СТ;35;Пл. Бронь;31,4;3171313,02;2
МАЙ, корп. 7, кв.36;1К;36;Пл. Бронь;41,5;3642390,26;1
МАЙ, корп. 7, кв.37;1К;37;Пл. Бронь;45,1;4577324,38;2
МАЙ, корп. 7, кв.38;СТ;38;Стр. Резерв;32,8;2890015,54;1
МАЙ, корп. 7, кв.39;2К;39;Продажа;62,7;4639800;1
МАЙ, корп. 7, кв.40;СТ;40;Свободно;31,4;3171313,02;2
МАЙ, корп. 7, кв.41;СТ;41;Свободно;31,4;3171313,02;2
МАЙ, корп. 7, кв.42;1К;42;Продажа;41,5;3606327,18;1
МАЙ, корп. 8, кв.1;1К;1;Продажа;41,3;3465070;2
МАЙ, корп. 8, кв.2;СТ;2;Продажа;29,2;2705153,7;2
МАЙ, корп. 8, кв.3;СТ;3;Продажа;29,2;2495023,2;2
МАЙ, корп. 8, кв.4;СТ;4;Продажа;31,3;2871000,64;2
МАЙ, корп. 8, кв.5;СТ;5;Продажа;31,3;2674459,8;2
МАЙ, корп. 8, кв.6;СТ;6;Продажа;32,3;2815379,76;2
МАЙ, корп. 8, кв.7;СТ;7;Продажа;32,1;2715660;2
МАЙ, корп. 8, кв.8;СТ;8;Продажа;32,8;3071875,47;2
МАЙ, корп. 8, кв.9;1К;9;Продажа;39,6;3431656,8;2
МАЙ, корп. 8, кв.10;СТ;10;Продажа;32,3;3083024,66;2
МАЙ, корп. 8, кв.11;СТ;11;Продажа;31,3;2987574,98;2
МАЙ, корп. 8, кв.12;1К;12;Продажа;41,3;3832640;2
МАЙ, корп. 8, кв.13;СТ;13;Продажа;29,2;2732213,34;2
МАЙ, корп. 8, кв.14;СТ;14;Продажа;29,2;2470320;2
МАЙ, корп. 8, кв.15;СТ;15;Продажа;31,9;2902543,36;2
МАЙ, корп. 8, кв.16;СТ;16;Продажа;31,3;2728216,3;2
МАЙ, корп. 8, кв.17;СТ;17;Продажа;32,9;3333960;2
МАЙ, корп. 8, кв.18;СТ;18;Продажа;32,7;3314520;2
МАЙ, корп. 8, кв.19;1К;19;Продажа;36,8;3371417;2
МАЙ, корп. 8, кв.20;1К;20;Продажа;43,3;3752291,4;2
МАЙ, корп. 8, кв.21;СТ;21;Продажа;32,3;2904633,38;2
МАЙ, корп. 8, кв.22;СТ;22;Продажа;31,3;2582250;2
МАЙ, корп. 8, кв.23;1К;23;Продажа;41,3;3378340;2
МАЙ, корп. 8, кв.24;СТ;24;Продажа;29,2;2457420,9;2
МАЙ, корп. 8, кв.25;СТ;25;Продажа;29,8;2661984;2
МАЙ, корп. 8, кв.26;СТ;26;Продажа;31,3;2582250;2
МАЙ, корп. 8, кв.27;СТ;27;Продажа;31,9;3156840;2
МАЙ, корп. 8, кв.28;СТ;28;Продажа;32,3;2664750;2
МАЙ, корп. 8, кв.29;СТ;29;Продажа;32,7;2877085;2
МАЙ, корп. 8, кв.30;1К;30;Продажа;39,5;2926160;2
МАЙ, корп. 8, кв.31;1К;31;Продажа;46,9;4292452,15;2
МАЙ, корп. 8, кв.32;СТ;32;Продажа;32,3;2745494,51;2
МАЙ, корп. 8, кв.33;1К;33;Продажа;40,3;2632638;0
МАЙ, корп. 8, кв.34;2К;34;Продажа;62,3;4481875,08;0
МАЙ, корп. 8, кв.35;1К;35;Продажа;42,6;2733855;0
МАЙ, корп. 8, кв.36;1К;36;Продажа;44,8;2815949;0
