Название;Комнат;Номер квартиры;Статус;Площадь;Цена;Отделка
МАЙ, корп. 8, кв.37;1К;37;Ус. Бронь;44,8;3609192,83;0
МАЙ, корп. 8, кв.38;1К;38;Пл. Бронь;42,6;3431955,68;0
МАЙ, корп. 8, кв.39;1К;39;Продажа;40,4;3254718,54;0
МАЙ, корп. 8, кв.40;2К;40;Продажа;59,3;4769138,46;0
МАЙ, корп. 8, кв.41;2К;41;Продажа;62,6;4329801;0
МАЙ, корп. 8, кв.42;2К;42;Продажа;62,9;4682390,33;0
МАЙ, корп. 8, кв.43;1К;43;Продажа;42,6;3273145,44;0
МАЙ, корп. 8, кв.44;1К;44;Продажа;45,4;3380087,66;0
МАЙ, корп. 8, кв.45;1К;45;Продажа;44,8;3503046,85;0
МАЙ, корп. 8, кв.46;1К;46;Продажа;42,6;3201047,07;0
МАЙ, корп. 8, кв.47;1К;47;Продажа;40,4;3158997,6;0
МАЙ, корп. 8, кв.48;2К;48;Продажа;59,9;4419729,89;0
МАЙ, корп. 8, кв.49;2К;49;Продажа;61,5;4434150;0
МАЙ, корп. 8, кв.50;2К;50;Продажа;62,9;4162010;0
МАЙ, корп. 8, кв.51;1К;51;Стр. Резерв;42,6;3235986,31;0
МАЙ, корп. 8, кв.52;1К;52;Продажа;45,4;3524040;0
МАЙ, корп. 8, кв.53;1К;53;Продажа;44,8;3336048,58;0
МАЙ, корп. 8, кв.54;1К;54;Продажа;42,6;2988965,1;0
МАЙ, корп. 8, кв.55;1К;55;Продажа;40,4;3008400,95;0
МАЙ, корп. 8, кв.56;2К;56;Продажа;59,9;4377248,81;0
МАЙ, корп. 8, кв.57;2К;57;Продажа;59,3;4963806,12;0
МАЙ, корп. 8, кв.58;1К;58;Продажа;40,4;3096753,32;0
МАЙ, корп. 8, кв.59;1К;59;Продажа;42,6;3364332,44;0
МАЙ, корп. 8, кв.60;1К;60;Продажа;44,8;3573458,11;0
МАЙ, корп. 8, кв.61;1К;61;Продажа;44,8;3235639,68;0
МАЙ, корп. 8, кв.62;1К;62;Стр. Резерв;42,6;3240738,34;0
МАЙ, корп. 8, кв.63;2К;63;Продажа;62,3;4336080;0
МАЙ, корп. 8, кв.64;1К;64;Продажа;40,3;2632637;0
МАЙ, корп. 8, кв.65;2К;65;Продажа;59,9;5080416,1;0
МАЙ, корп. 8, кв.66;1К;66;Продажа;40,4;3035734,78;0
МАЙ, корп. 8, кв.67;1К;67;Продажа;42,6;3298041,73;0
МАЙ, корп. 8, кв.68;1К;68;Продажа;44,8;3366359,36;0
МАЙ, корп. 8, кв.69;1К;69;Продажа;44,8;3538077,31;0
МАЙ, корп. 8, кв.70;1К;70;Продажа;42,6;3240737,92;0
МАЙ, корп. 8, кв.71;2К;71;Продажа;62,9;4403000;0
МАЙ, корп. 8, кв.72;2К;72;Продажа;62,6;4329801;0
МАЙ, корп. 8, кв.73;2К;73;Продажа;59,9;4832845,81;0
МАЙ, корп. 8, кв.74;1К;74;Продажа;40,4;2778752,4;0
МАЙ, корп. 8, кв.75;1К;75;Продажа;42,6;2930070,6;0
МАЙ, корп. 8, кв.76;1К;76;Продажа;44,8;3270315,33;0
МАЙ, корп. 8, кв.77;1К;77;Продажа;44,8;3336048,58;0
МАЙ, корп. 8, кв.78;1К;78;Продажа;42,6;3018391,48;0
МАЙ, корп. 8, кв.79;2К;79;Продажа;62,9;4340250;0
МАЙ, корп. 8, кв.80;2К;80;Продажа;62,1;5006291,48;0
МАЙ, корп. 8, кв.81;СТ;81;Продажа;32,3;2500414,71;0
МАЙ, корп. 8, кв.82;1К;82;Продажа;39,6;2619580;0
МАЙ, корп. 8, кв.83;СТ;83;Продажа;32,8;2229645,93;0
МАЙ, корп. 8, кв.84;СТ;84;Продажа;32,1;2484932,26;0
МАЙ, корп. 8, кв.85;СТ;85;Продажа;32,3;2451146,55;0
МАЙ, корп. 8, кв.86;СТ;86;Продажа;31,3;2375259,66;0
МАЙ, корп. 8, кв.87;СТ;87;Продажа;31,3;2193942,2;0
МАЙ, корп. 8, кв.88;СТ;88;Продажа;29,2;2260436,53;0
МАЙ, корп. 8, кв.89;СТ;89;Продажа;29,2;2283040,84;0
МАЙ, корп. 8, кв.90;1К;90;Продажа;41,3;3294281,7;0
МАЙ, корп. 8, кв.91;СТ;91;Продажа;32,3;2500414,71;0
МАЙ, корп. 8, кв.92;1К;92;Продажа;43,3;3477525,62;0
МАЙ, корп. 8, кв.93;1К;93;Продажа;36,2;2606400;0
МАЙ, корп. 8, кв.94;СТ;94;Свободно;32,7;2714100;0
МАЙ, корп. 8, кв.95;СТ;95;Продажа;32,3;2402849;0
МАЙ, корп. 8, кв.96;СТ;96;Стр. Резерв;31,3;2423002,49;0
МАЙ, корп. 8, кв.97;СТ;97;Продажа;31,3;2423002,49;0
МАЙ, корп. 8, кв.98;СТ;98;Продажа;29,8;1991808;0
МАЙ, корп. 8, кв.99;СТ;99;Продажа;29,2;2260430,4;0
МАЙ, корп. 8, кв.100;1К;100;Продажа;41,3;3103362,54;0
МАЙ, корп. 8, кв.101;СТ;101;Продажа;31,3;2423002,49;0
МАЙ, корп. 8, кв.102;СТ;102;Продажа;32,3;2424753,89;0
МАЙ, корп. 8, кв.103;1К;103;Продажа;46,9;3630060;0
МАЙ, корп. 8, кв.104;1К;104;Продажа;39,5;2537559;0
МАЙ, корп. 8, кв.105;СТ;105;Продажа;32,7;2294930,15;0
МАЙ, корп. 8, кв.106;СТ;106;Продажа;32,3;2376976,38;0
МАЙ, корп. 8, кв.107;СТ;107;Продажа;31,3;2257999,84;0
МАЙ, корп. 8, кв.108;СТ;108;Продажа;31,3;2326419,76;0
МАЙ, корп. 8, кв.109;СТ;109;Продажа;29,8;1859458;0
МАЙ, корп. 8, кв.110;СТ;110;Продажа;29,2;1740262;0
МАЙ, корп. 8, кв.111;1К;111;Продажа;41,3;2812530;0
МАЙ, корп. 8, кв.112;СТ;112;Ус. Бронь;31,3;2597900;0
Май, корп. 9, кв.1;1К;1;Продажа;41,3;3847425,4;2
Май, корп. 9, кв.2;СТ;2;Свободно;29,2;2920000;2
Май, корп. 9, кв.3;СТ;3;Продажа;29,2;2894654,4;2
Май, корп. 9, кв.4;СТ;4;Продажа;31,3;3133859,92;2
Май, корп. 9, кв.5;СТ;5;Пл. Бронь;31,3;3102831,6;2
Май, корп. 9, кв.6;СТ;6;Продажа;32,3;3201963,6;2
Май, корп. 9, кв.7;СТ;7;Продажа;32,1;3182137,2;2
Май, корп. 9, кв.8;СТ;8;Пл. Бронь;32,8;3514715,16;2
Май, корп. 9, кв.9;1К;9;Продажа;39,6;3880651,9;2
Май, корп. 9, кв.10;СТ;10;Свободно;32,3;3158265,25;2
Май, корп. 9, кв.11;СТ;11;Пл. Бронь;31,3;3060486,14;2
Май, корп. 9, кв.12;1К;12;Продажа;41,3;3847425,4;2
Май, корп. 9, кв.13;СТ;13;Продажа;29,2;2826881,2;2
Май, корп. 9, кв.14;СТ;14;Продажа;29,2;2923600,94;2
Май, корп. 9, кв.15;СТ;15;Пл. Бронь;31,9;3162310,8;2
Май, корп. 9, кв.16;СТ;16;Продажа;31,3;3102831,6;2
Май, корп. 9, кв.17;СТ;17;Ус. Бронь;32,9;3294057,23;2
Май, корп. 9, кв.18;СТ;18;Продажа;32,7;3241616,4;2
Май, корп. 9, кв.19;1К;19;Продажа;36,8;3826795,2;2
Май, корп. 9, кв.20;1К;20;Продажа;43,3;4243238,06;2
Май, корп. 9, кв.21;СТ;21;Продажа;32,3;3126995,3;2
Май, корп. 9, кв.22;СТ;22;Продажа;31,3;3005958,1;2
Май, корп. 9, кв.23;1К;23;Продажа;41,3;3815459,2;2
Май, корп. 9, кв.24;СТ;24;Продажа;29,2;2804280,4;2
Май, корп. 9, кв.25;СТ;25;Продажа;29,8;2931068,4;2
Май, корп. 9, кв.26;СТ;26;Продажа;31,3;3078605,4;2
Май, корп. 9, кв.27;СТ;27;Продажа;31,9;3137620,2;2
Май, корп. 9, кв.28;СТ;28;Пл. Бронь;32,3;3208733,03;2
Май, корп. 9, кв.29;СТ;29;Продажа;32,7;3216306,6;2
Май, корп. 9, кв.30;1К;30;Пл. Бронь;39,5;4117802,32;2
Май, корп. 9, кв.31;1К;31;Свободно;46,9;4559408,36;2
Май, корп. 9, кв.32;СТ;32;Пл. Бронь;32,3;3133015,05;2
Май, корп. 9, кв.33;1К;33;Продажа;40,3;3972532,2;2
Май, корп. 9, кв.34;2К;34;Продажа;62,3;6145708,1;2
Май, корп. 9, кв.35;1К;35;Продажа;42,2;4029213,8;2
Май, корп. 9, кв.36;1К;36;Продажа;47,5;4461770;2
Май, корп. 9, кв.37;1К;37;Продажа;47,5;4425005;2
Май, корп. 9, кв.38;1К;38;Продажа;42,2;3970580,28;2
Май, корп. 9, кв.39;1К;39;Ус. Бронь;40,4;3763583,2;2
Май, корп. 9, кв.40;2К;40;Продажа;59,3;5767396,44;2
Май, корп. 9, кв.41;2К;41;Продажа;62,6;6175302,2;2
Май, корп. 9, кв.42;2К;42;Продажа;62,9;6204896,3;2
Май, корп. 9, кв.43;1К;43;Продажа;42,2;4029213,8;2
Май, корп. 9, кв.44;1К;44;Продажа;48,1;4518129,2;2
Май, корп. 9, кв.45;1К;45;Пл. Бронь;47,5;4469255,05;2
Май, корп. 9, кв.46;1К;46;Продажа;42,2;3970580,28;2
Май, корп. 9, кв.47;1К;47;Продажа;40,4;3763583,2;2
Май, корп. 9, кв.48;2К;48;Продажа;59,9;5861993,7;2
Май, корп. 9, кв.49;2К;49;Продажа;61,7;6018574,5;2
Май, корп. 9, кв.50;2К;50;Пл. Бронь;62,9;6217138,53;2
Май, корп. 9, кв.51;1К;51;Пл. Бронь;42,2;4036516,51;2
Май, корп. 9, кв.52;1К;52;Продажа;48,1;4480899,8;2
Май, корп. 9, кв.53;1К;53;Пл. Бронь;47,5;4432122,4;2
Май, корп. 9, кв.54;1К;54;Продажа;42,2;3898604,8;2
Май, корп. 9, кв.55;1К;55;Продажа;40,4;3732313,6;2
Май, корп. 9, кв.56;2К;56;Пл. Бронь;59,9;5873182,42;2
Май, корп. 9, кв.57;СТ;57;Свободно;30,7;3169721,58;2
Май, корп. 9, кв.58;2К;58;Пл. Бронь;62,9;6466235,74;2
Май, корп. 9, кв.59;1К;59;Продажа;44,8;4416115,2;2
Май, корп. 9, кв.60;1К;60;Продажа;44,8;4277459,2;2
Май, корп. 9, кв.61;1К;61;Продажа;42,6;4067405,4;2
Май, корп. 9, кв.62;2К;62;Продажа;62,3;6243456,8;2
Май, корп. 9, кв.63;1К;63;Пл. Бронь;40,3;4030000;2
Май, корп. 9, кв.64;СТ;64;Свободно;30,7;3169721,58;2
Май, корп. 9, кв.65;2К;65;Продажа;63,7;6483640,8;2
Май, корп. 9, кв.66;1К;66;Продажа;44,8;4416115,2;2
Май, корп. 9, кв.67;1К;67;Продажа;44,8;4277459,2;2
Май, корп. 9, кв.68;1К;68;Свободно;42,6;4108079,45;2
Май, корп. 9, кв.69;2К;69;Пл. Бронь;62,9;6366622,26;2
Май, корп. 9, кв.70;2К;70;Продажа;62,3;6194613,6;2
Май, корп. 9, кв.71;СТ;71;Пл. Бронь;30,7;2333200;0
Май, корп. 9, кв.72;2К;72;Продажа;63,7;6533581,6;2
Май, корп. 9, кв.73;1К;73;Продажа;44,8;4450745,6;2
Май, корп. 9, кв.74;1К;74;Пл. Бронь;44,8;4312134,4;2
Май, корп. 9, кв.75;1К;75;Продажа;42,6;4100377,8;2
Май, корп. 9, кв.76;2К;76;Продажа;62,9;6352900;2
Май, корп. 9, кв.77;2К;77;Свободно;62,3;6305891,37;2
Май, корп. 9, кв.78;СТ;78;Свободно;32,3;3334918,8;2
Май, корп. 9, кв.79;1К;79;Продажа;39,6;4026052,8;2
Май, корп. 9, кв.80;СТ;80;Пл. Бронь;32,8;3386542,93;2
Май, корп. 9, кв.81;СТ;81;Свободно;32,1;3213958,57;2
Май, корп. 9, кв.82;СТ;82;Свободно;32,3;3233983,24;2
Май, корп. 9, кв.83;СТ;83;Свободно;31,3;3133859,92;2
Май, корп. 9, кв.84;СТ;84;Продажа;31,3;3102831,6;2
Май, корп. 9, кв.85;СТ;85;Продажа;29,2;2894654,4;2
Май, корп. 9, кв.86;СТ;86;Продажа;29,2;2984999,2;2
Май, корп. 9, кв.87;1К;87;Продажа;41,3;4071106,2;2
Май, корп. 9, кв.88;СТ;88;Пл. Бронь;32,3;3334918,8;2
Май, корп. 9, кв.89;1К;89;Продажа;43,3;4402224,4;2
Май, корп. 9, кв.90;1К;90;Продажа;36,2;3568378,8;2
Май, корп. 9, кв.91;СТ;91;Продажа;32,7;3241616,4;2
Май, корп. 9, кв.92;СТ;92;Свободно;32,3;3233983,24;2
Май, корп. 9, кв.93;СТ;93;Свободно;31,3;3192600;2
Май, корп. 9, кв.94;СТ;94;Пл. Бронь;31,3;3133859,92;2
Май, корп. 9, кв.95;СТ;95;Продажа;29,8;2954133,6;2
Май, корп. 9, кв.96;СТ;96;Продажа;29,2;2984999,2;2
Май, корп. 9, кв.97;1К;97;Пл. Бронь;41,3;4111817,26;2
Май, корп. 9, кв.98;СТ;98;Продажа;31,3;3199673,8;2
Май, корп. 9, кв.99;СТ;99;Продажа;32,3;3276931,9;2
Май, корп. 9, кв.100;1К;100;Продажа;46,9;3500000;0
Май, корп. 9, кв.101;1К;101;Продажа;39,5;3863100;2
Май, корп. 9, кв.102;СТ;102;Продажа;32,7;3216306,6;2
Май, корп. 9, кв.103;СТ;103;Продажа;32,3;3208733,03;2
Май, корп. 9, кв.104;СТ;104;Пл. Бронь;31,3;3109391,45;2
Май, корп. 9, кв.105;СТ;105;Пл. Бронь;31,3;3109391,45;2
Май, корп. 9, кв.106;СТ;106;Продажа;29,8;2931068,4;2
Май, корп. 9, кв.107;СТ;107;Продажа;29,2;2962427,6;2
Май, корп. 9, кв.108;1К;108;Продажа;41,3;4039140;2
Май, корп. 9, кв.109;СТ;109;Продажа;31,3;3175478,9;2
МАЙ, корп. 10, кв.1;1К;1;Продажа;41,3;3988024,64;2
МАЙ, корп. 10, кв.2;СТ;2;Продажа;29,2;2299314,29;0
МАЙ, корп. 10, кв.3;СТ;3;Пл. Бронь;29,2;2423600;0
МАЙ, корп. 10, кв.4;СТ;4;Продажа;31,3;1973215;0
МАЙ, корп. 10, кв.5;СТ;5;Продажа;31,3;2172220;0
МАЙ, корп. 10, кв.6;СТ;6;Продажа;32,3;2518252,7;0
МАЙ, корп. 10, кв.7;СТ;7;Продажа;32,1;2628990;0
МАЙ, корп. 10, кв.8;СТ;8;Продажа;32,8;2686320;0
МАЙ, корп. 10, кв.9;1К;9;Продажа;39,6;3117704,04;0
МАЙ, корп. 10, кв.10;СТ;10;Продажа;32,3;2500414,71;0
МАЙ, корп. 10, кв.11;СТ;11;Продажа;31,3;2423002,49;0
МАЙ, корп. 10, кв.12;1К;12;Продажа;41,3;3229371,31;0
МАЙ, корп. 10, кв.13;СТ;13;Ус. Бронь;29,2;2423600;0
МАЙ, корп. 10, кв.14;СТ;14;Продажа;29,2;2087884,39;0
МАЙ, корп. 10, кв.15;СТ;15;Продажа;31,9;2311020,06;0
МАЙ, корп. 10, кв.16;СТ;16;Продажа;31,3;2172220;0
МАЙ, корп. 10, кв.17;СТ;17;Продажа;32,9;2519693,55;0
МАЙ, корп. 10, кв.18;СТ;18;Продажа;32,7;2685174,23;0
МАЙ, корп. 10, кв.19;1К;19;Продажа;36,8;3044540;0
МАЙ, корп. 10, кв.20;1К;20;Продажа;43,3;3180263,76;0
МАЙ, корп. 10, кв.21;СТ;21;Продажа;32,3;2500414,71;0
МАЙ, корп. 10, кв.22;СТ;22;Продажа;31,3;2349684,11;0
МАЙ, корп. 10, кв.23;1К;23;Продажа;41,3;3014821,94;0
МАЙ, корп. 10, кв.24;СТ;24;Продажа;29,2;1984811,6;0
МАЙ, корп. 10, кв.25;СТ;25;Продажа;29,8;2099759,85;0
МАЙ, корп. 10, кв.26;СТ;26;Продажа;31,3;2106490;0
МАЙ, корп. 10, кв.27;СТ;27;Продажа;31,9;2241090,16;0
МАЙ, корп. 10, кв.28;СТ;28;Продажа;32,3;2257511,6;0
МАЙ, корп. 10, кв.29;СТ;29;Продажа;32,7;2504376,59;0
МАЙ, корп. 10, кв.30;1К;30;Продажа;39,5;3057300;0
МАЙ, корп. 10, кв.31;1К;31;Продажа;46,9;3382478,18;0
МАЙ, корп. 10, кв.32;СТ;32;Продажа;32,3;2424753,89;0
МАЙ, корп. 10, кв.33;1К;33;Продажа;40,3;2721378;0
МАЙ, корп. 10, кв.34;2К;34;Продажа;62,3;4052241;0
МАЙ, корп. 10, кв.35;1К;35;Продажа;42,2;2580741;0
МАЙ, корп. 10, кв.36;1К;36;Продажа;47,5;3543406,9;0
МАЙ, корп. 10, кв.37;1К;37;Пл. Бронь;47,5;3826711,15;0
МАЙ, корп. 10, кв.38;1К;38;Продажа;42,2;3399730,75;0
МАЙ, корп. 10, кв.39;1К;39;Продажа;40,4;3158997,6;0
МАЙ, корп. 10, кв.40;2К;40;Свободно;59,3;5131729,49;0
МАЙ, корп. 10, кв.41;2К;41;Продажа;62,6;4388391;0
МАЙ, корп. 10, кв.42;2К;42;Продажа;62,9;4227789;0
МАЙ, корп. 10, кв.43;1К;43;Продажа;42,2;3186100;0
МАЙ, корп. 10, кв.44;1К;44;Продажа;48,1;3575092,63;0
МАЙ, корп. 10, кв.45;1К;45;Продажа;47,5;3826711,15;0
МАЙ, корп. 10, кв.46;1К;46;Продажа;42,2;3170990,29;0
МАЙ, корп. 10, кв.47;1К;47;Продажа;40,4;3222493,48;0
МАЙ, корп. 10, кв.48;2К;48;Продажа;59,9;4591370;0
МАЙ, корп. 10, кв.49;2К;49;Продажа;61,5;5030755,97;0
МАЙ, корп. 10, кв.50;2К;50;Продажа;62,9;4184322;0
МАЙ, корп. 10, кв.51;1К;51;Продажа;42,2;3084820;0
МАЙ, корп. 10, кв.52;1К;52;Продажа;48,1;3370949,97;0
МАЙ, корп. 10, кв.53;1К;53;Продажа;47,5;3680725,6;0
МАЙ, корп. 10, кв.54;1К;54;Продажа;42,2;3205601,46;0
МАЙ, корп. 10, кв.55;1К;55;Продажа;40,4;3068869,65;0
МАЙ, корп. 10, кв.56;2К;56;Продажа;59,9;4899876,31;0
МАЙ, корп. 10, кв.57;2К;57;Продажа;59,3;4931491,18;0
МАЙ, корп. 10, кв.58;1К;58;Пл. Бронь;40,4;3353200;0
МАЙ, корп. 10, кв.59;1К;59;Продажа;42,6;3201047,07;0
МАЙ, корп. 10, кв.60;1К;60;Продажа;44,8;3290434,56;0
МАЙ, корп. 10, кв.61;1К;61;Продажа;44,8;3221370;0
МАЙ, корп. 10, кв.62;1К;62;Продажа;42,6;2573040;0
МАЙ, корп. 10, кв.63;2К;63;Стр. Резерв;62,3;5170900;0
МАЙ, корп. 10, кв.64;1К;64;Продажа;40,3;2366416;0
МАЙ, корп. 10, кв.65;2К;65;Продажа;59,9;4591370;0
МАЙ, корп. 10, кв.66;1К;66;Продажа;40,4;2832040;0
МАЙ, корп. 10, кв.67;1К;67;Ус. Бронь;42,6;3706200;0
МАЙ, корп. 10, кв.68;1К;68;Продажа;44,8;3225600;0
МАЙ, корп. 10, кв.69;1К;69;Продажа;44,8;3225600;0
МАЙ, корп. 10, кв.70;1К;70;Продажа;42,6;3145428,51;0
МАЙ, корп. 10, кв.71;2К;71;Продажа;62,9;4999053,61;0
МАЙ, корп. 10, кв.72;2К;72;Продажа;62,6;4388391;0
МАЙ, корп. 10, кв.73;2К;73;Продажа;59,9;4010859;0
МАЙ, корп. 10, кв.74;1К;74;Продажа;40,4;3042120;0
МАЙ, корп. 10, кв.75;1К;75;Продажа;42,6;2662269;0
МАЙ, корп. 10, кв.76;1К;76;Продажа;44,8;2878130;0
МАЙ, корп. 10, кв.77;1К;77;Продажа;44,8;3136000;0
МАЙ, корп. 10, кв.78;1К;78;Продажа;42,6;2815860;0
МАЙ, корп. 10, кв.79;2К;79;Продажа;62,9;4404550;0
МАЙ, корп. 10, кв.80;2К;80;Продажа;62,1;4198643,72;0
МАЙ, корп. 11, кв.1;;1;Оценка;42,7;3750367,05;0
МАЙ, корп. 11, кв.2;;2;Оценка;85,1;6273795,81;0
МАЙ, корп. 11, кв.3;;3;Оценка;73,3;5145900,42;0
МАЙ, корп. 11, кв.4;;4;Оценка;48,2;3628658,92;0
МАЙ, корп. 11, кв.5;;5;Оценка;80,9;6045861,68;0
МАЙ, корп. 11, кв.6;;6;Оценка;64,8;5038330,9;0
МАЙ, корп. 11, кв.7;;7;Оценка;81,3;6175275,65;0
МАЙ, корп. 11, кв.8;;8;Оценка;66,8;4840855,72;0
МАЙ, корп. 11, кв.9;;9;Оценка;43,6;3574120,46;0
МАЙ, корп. 11, кв.10;;10;Оценка;66,7;5135709,91;0
МАЙ, корп. 11, кв.11;;11;Оценка;64,6;5022780,49;0
МАЙ, корп. 11, кв.12;;12;Оценка;80,4;6106914,66;0
МАЙ, корп. 11, кв.13;;13;Оценка;67,3;4877089,67;0
МАЙ, корп. 11, кв.14;;14;Оценка;43,5;3565922,94;0
МАЙ, корп. 11, кв.15;;15;Оценка;66,2;5097211,33;0
МАЙ, корп. 11, кв.16;;16;Оценка;54,8;4583921,36;0
МАЙ, корп. 11, кв.17;;17;Оценка;76,4;5248185,69;0
МАЙ, корп. 11, кв.18;;18;Оценка;48,3;4161414,5;0
МАЙ, корп. 11, кв.19;;19;Стр. Резерв;42,4;3476452,32;0
МАЙ, корп. 11, кв.20;;20;Оценка;48,4;4170030,26;0
МАЙ, корп. 11, кв.21;;21;Оценка;48,1;4144182,97;0
МАЙ, корп. 11, кв.22;;22;Оценка;42,4;3511216,93;0
МАЙ, корп. 11, кв.23;;23;Оценка;48,2;4152798,73;0
МАЙ, корп. 11, кв.24;;24;Оценка;48,6;3998869,72;0
МАЙ, корп. 11, кв.25;;25;Оценка;71,5;5235428,77;0
МАЙ, корп. 11, кв.26;;26;Оценка;49,1;3737485,13;0
МАЙ, корп. 11, кв.27;;27;Оценка;51;4266058,2;0
МАЙ, корп. 11, кв.28;;28;Оценка;41,1;3678596,73;0
МАЙ, корп. 11, кв.29;;29;Оценка;64,2;4991679,68;0
МАЙ, корп. 11, кв.30;;30;Оценка;44,9;3718246,23;0
МАЙ, корп. 11, кв.31;;31;Оценка;63,1;4906152,46;0
МАЙ, корп. 11, кв.32;;32;Оценка;77,1;5936480,27;0
МАЙ, корп. 11, кв.33;;33;Оценка;85,3;6954201,07;0
МАЙ, корп. 11, кв.34;;34;Оценка;63;4898377,26;0
МАЙ, корп. 12, кв.1;;1;Оценка;48,9;3949727,33;0
МАЙ, корп. 12, кв.2;;2;Оценка;70,7;5123480,53;0
МАЙ, корп. 12, кв.3;;3;Оценка;93;6717695,04;0
МАЙ, корп. 12, кв.4;;4;Оценка;42;3688885,62;0
МАЙ, корп. 12, кв.5;;5;Оценка;63,5;4745515,66;0
МАЙ, корп. 12, кв.6;;6;Оценка;44,2;3623305,61;0
МАЙ, корп. 12, кв.7;;7;Оценка;63,4;4785901,16;0
МАЙ, корп. 12, кв.8;;8;Оценка;76,7;5789883,58;0
МАЙ, корп. 12, кв.9;;9;Оценка;85,3;6696638,57;0
МАЙ, корп. 12, кв.10;;10;Оценка;63,3;4778352,42;0
МАЙ, корп. 12, кв.11;;11;Оценка;75,3;5513675,33;0
МАЙ, корп. 12, кв.12;;12;Оценка;54;4381492,5;0
МАЙ, корп. 12, кв.13;;13;Оценка;48,5;4056937,7;0
МАЙ, корп. 12, кв.14;;14;Стр. Резерв;41,6;3376405,76;0
МАЙ, корп. 12, кв.15;;15;Оценка;49,3;4123856,26;0
МАЙ, корп. 12, кв.16;;16;Оценка;48,9;4090396,98;0
МАЙ, корп. 12, кв.17;;17;Оценка;41,6;3410169,98;0
МАЙ, корп. 12, кв.18;;18;Оценка;48,2;4031843,24;0
МАЙ, корп. 12, кв.19;;19;Оценка;79,6;5768444,84;0
МАЙ, корп. 12, кв.20;;20;Оценка;48,2;3628658,92;0
МАЙ, корп. 12, кв.21;;21;Оценка;73,3;5145900,42;0
МАЙ, корп. 12, кв.22;;22;Оценка;85,1;6083680,71;0
МАЙ, корп. 12, кв.23;;23;Оценка;41,4;3532296,02;0
МАЙ, корп. 12, кв.24;;24;Оценка;66,7;4984659,75;0
МАЙ, корп. 12, кв.25;;25;Оценка;43,6;3574120,46;0
МАЙ, корп. 12, кв.26;;26;Оценка;66,8;5364191,64;0
МАЙ, корп. 12, кв.27;;27;Оценка;81,3;5993649,82;0
МАЙ, корп. 12, кв.28;;28;Оценка;64,8;4891583,52;0
МАЙ, корп. 12, кв.29;;29;Оценка;66,2;4947293,49;0
МАЙ, корп. 12, кв.30;;30;Оценка;43,5;3565922,94;0
МАЙ, корп. 12, кв.31;;31;Оценка;67,3;4877089,67;0
МАЙ, корп. 12, кв.32;;32;Оценка;80,4;5927299,45;0
МАЙ, корп. 12, кв.33;;33;Оценка;64,6;4876486,04;0
МАЙ, корп. 13, кв.1;1К;1;Свободно;42,7;3643213,53;0
МАЙ, корп. 13, кв.2;3К;2;Свободно;85,1;6083680,71;0
МАЙ, корп. 13, кв.3;2К;3;Пл. Бронь;73,3;5145900,42;0
МАЙ, корп. 13, кв.4;1К;4;Продажа;48,2;3557160;0
МАЙ, корп. 13, кв.5;2К;5;Свободно;80,9;5862653,11;0
МАЙ, корп. 13, кв.6;2К;6;Свободно;64,8;4891583,52;0
МАЙ, корп. 13, кв.7;3К;7;Пл. Бронь;81,3;5993649,82;0
МАЙ, корп. 13, кв.8;2К;8;Пл. Бронь;66,8;4840855,72;0
МАЙ, корп. 13, кв.9;1К;9;Пл. Бронь;43,6;3574120,46;0
МАЙ, корп. 13, кв.10;2К;10;Свободно;66,7;4984659,75;0
